plot,severity,ARDR,ARLU,ASHU,BOCU,BRCI,CAHU,CARO,CEFE,CHAL,CIWH,COAN,COCA,CRGR,ELEL,EPBR,ERAL,ERCA,ERNE,ERSP,FEAR,GECA,HEMU,HOWR,BADI,LASE,LALA,LIDA,LIMU,LOWR,LUAR,MACA,MUMO,MUST,MUWR,OEEL,PAMU,PEVI,PIPR,POOL,PSMA,PSTE,QUGA,SATR,SESP,SCSC,TRRA,VETH,VIPU
1,U,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,
2,U,,1,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
3,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,39,,,,,,,,,,
4,U,,,,,,,8,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,0.2,0.2
5,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,19,,,,,,,,,,
6,U,,,,,,,,,,,,,,,,,,,,5,,,,,,,0.2,,,,,,,,,,,60,,,,,,,,,,
7,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,31,,,,,,,,,,
8,U,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,2,,,,,,9,,,,,,,,,,
9,U,,2,,,,,14,,,,,,,3,,,,,,,,,,,,,,,0.2,,,16,,,,,,,,,,,,,,,,
10,U,,,,,,,7,,,,,,,13,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
11,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,
12,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,
13,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,
14,U,,0.5,,,,,,,,,,,,,,,,0.25,,0.2,,,,,,,,,,,,1,,,,,,6,0.25,,,,,,,,,
15,U,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,4,11,,,,,,9,,,,,,,,,,
