plot,severity,ARLU,ASHU,BOCU,CAHU,CARO,CEFE,CHAL,COAN,COCA,CRGR,ELEL,EPBR,ERAL,ERDI,ERNE,ERRA,ERspp,FEAR,GECA,HEMU,HEOB,HOWR,BADI,LACO,LASC,LASE,LIDA,LIMU,LOWR,LUAR,MACA,MUMO,MUST,MUWR,OEEL,OXLA,PAMU,PEVI,PHAN,PIPR,PSMA,PSTE,QUGA,SATR,SCSC,TRRA,PSCO,VETH,VIPU
1,U,,,,,1,,,0.2,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,23,,,,,,,,,
2,U,0.2,,,,7,0.5,,,,,,,,,,,,,,,,0.2,,,,,,,,,,2,,,,,,,,1.5,,,,,,,,,
3,U,,,,,,,,,,,0.5,,,,,0.2,,,,,,,,1,,,,,,,,,,1,,,,,,36,,,,,,,,,
4,U,,,,,,,,,,,,,1,,,,,,,,,,,0.5,,,,,,,0.25,,,,,,,,,1,0.5,,,,,,,,0.2
5,U,,,,,,,,0.2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
6,U,,,,,,,,,,,,,,,,,,4,,,,,,,,,0.5,,,,,,,,,,,,,50,,,,,,,,,
7,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,19,,,,,,,,,
8,U,,,,,,,,,,,1,,,,,,,11,,,,,,,,,,,,,,1.5,,,,,,,,3,,,,,,,,,
9,U,4,,,,1,,,,,,3,,,,,,,,,,,0.25,,0.25,,,,,0.5,,,14,,,,,,,,,2,,,,,,,,
10,U,,,,,1,,,,,,5,,,,,,,,,,,,,,,,0.2,,,,,1,,,,,,,,,,,,,,,,,
11,U,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
12,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
13,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,
14,U,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,,,,,
15,U,,,,,,,,,,,3,,,,0.2,,,,,2,,,,,,,,,,,,9,,,,,,,,5,,,,,,,,,
16,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,11,0.5,,1,,,,,,
17,U,,,5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,4,,,,
