plot,severity,ARLU,ASHU,BOCU,BREU,BRTE,CAHU,CARO,CEFE,CHAL,CIWH,COAN,COCA,CRGR,DEPI,ELEL,EPBR,ERAL,ERDI,ERNA,ERNE,ERRA,ERSP,FEAR,GECA,HEMU,HOWR,BADI,LACO,LASE,LIDA,LIIN,LIMU,LINE,LOWR,LUAR,MACA,MUMO,MUST,MUWR,OEEL,PAMU,PIPR,PSMA,QUGA,SATR,SCSC,SESP,TRRA,VETH,VIPU
1,U,,,,,,,1,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,26,,,,,,,,
2,U,0.2,,,,,,4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,3.5,,,,,,,,,1.5,,,,
3,U,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,7,,,,,,,,
4,U,,,,,,,1,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,2.5,0.2,,,,,,,
5,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,6,,,,,,,,
6,U,,,,,,,0.25,,,,,,,,0.5,,,,,,,,0.25,,,,,,,0.2,,,,,,,,,,,,14,,,,,,,,
7,U,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0.75,,,,,6,,,,,,,,
8,U,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1.5,,,,,2,,,,0.5,,,,
9,U,1.25,,,,,,3,,,,,,,,1,,,,,0.25,,,,,,,,,,,,,,0.2,,,10.5,,,,,,0.2,,,,,,,
10,U,,,,,,,1.25,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
11,U,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
12,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
13,U,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,
14,U,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,7,,,,,,,0.25,
15,U,,,,,,,1,,,,,,,,9,,,,0.25,,,,,,2,,,,,,,,,,,,23,,,,,12,,,,,,,,
16,U,,,,,,,,,,0.5,,,,,2,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,19,0.5,2.5,,,,,,
17,U,,0.2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,8,,,,11,,,,
18,U,,,9,,,,,,,,,,,,,,,,,,,,15,,0.2,0.5,,,,,,,,,,,,5,,,,,7,,,6,,,,
19,U,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,3,,4,,
20,U,,,,,,,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,0.2,
21,L,,,,,,,1,,,,,,,,9,,,,,,,,,,,0.2,1,,,,,,,,,,,,,,,,,,,,,,,
22,L,,,,,,0.2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,16,12,,,,,,3,,,,,,
23,L,3,0.25,,0.2,,,,,,,,,,,0.5,,,,,,,,0.25,,,,,,,,,,,,,,17,,,,,,,,,,,,,
24,L,,,,,,,0.2,,,,0.25,,,,0.5,,,,,0.2,,,0.2,,,,,,,,,0.25,,,,,,,,,,5,,,,,,,,
25,L,,,,,,,1,,,,,,,,,,,,,,,0.5,5,,,,,,,,,,,,,,1,,,,,25,,4,,,,,,
26,L,0.2,,,,,,,,,,,,,,0.2,,,0.5,,,,,0.5,,,0.2,1,,,,,,,,,,3,,,,,,,,,,,,,
27,L,,,,,,,4,,,,0.2,,,,,,,,,0.2,,,,,,,,,,,,2,,,,,10,,,,,,1,3,,,,,,
28,L,,,,,,,,15,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,21,21,,,,,5,,,,,,,
29,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,
30,L,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,0.5,,,,18,,,,,9,0.25,,,,,,
31,L,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,
32,L,,,,,,,6,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,22,,,,,,,,
33,L,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,11,
34,L,,,,,,,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,0.5,,,2,,,,1,
35,L,,,,,,,,,,,0.5,,,,0.2,,,,,0.25,,,,,0.2,,1,,,0.25,,,0.2,0.25,,,3,,,,,,3,,,2,,,,0.2
36,L,,,,,,,,2,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,1.5,,3,26,,,,,4,,,,,,,
37,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,3,,,,,,,
38,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,
41,H,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,0.25,,,,,,,,,27,,,,,,,24,,,,,
42,H,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,6,,,,20,,,,,1,
44,H,,,,,,,,,2,,,10,,,,,,,,,,,,,,,,,0.2,,,,,,,,,4,,,,,2,,,,,,5,
45,H,,,,,,,,,,,,5,,0.2,,1,,,,,,,0.25,,,,,,,,0.5,,,,,,,,,,,,3,,3,,,,17,
46,H,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,2,,,,46,
47,H,,,,,,,1,,,,0.2,7,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,2,,13,,,,0.25,
48,H,,,,,,,,,,,,8,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,11,,,0.25,23,
49,H,,,,,,,,,,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,2,
