Scientific name,Code
Artemisia ludoviciana,ARLU
Bahia dissecta,BADI
Carex rossii,CARO
Ceanothus fendleri,CEFE
Chenopodium album,CHAL
Cirsium wheeleri,CIWH
Cologania angustifolia,COAN
Conyza canadensis,COCA
Cryptantha gracilis,CRGR
Elymus elymoides,ELEL
Erigeron divergens,ERDI
Erigeron neomexicanus,ERNE
Festuca arizonica,FEAR
Heliomeris multiflora,HEMU
Houstonia wrightii,HOWR
Lactuca serriola,LASE
Linaria dalmatica,LIDA
Lotus wrightii,LOWR
Machaeranthera canescens,MACA
Muhlenbergia montana,MUMO
Muhlenbergia straminea,MUST
Muhlenbergia wrightii,MUWR
Piptochaetium pringlei,PIPR
Pseudognaphalium macounii,PSMA
Quercus gambelii,QUGA
Salsola tragus,SATR
Schizachyrium scoparium,SCSC
Verbascum thapsus,VETH
,
,
,
,
,
,
