Code,Species
ARLU,Artemisia ludoviciana
ASHU,Astragalus humistratus
BOCU,Bouteloua curtipendula
BREU,Brickellia eupatorioides
CARO,Carex rossii
CEFE,Ceanothus fendleri
CHAL,Chenopodium album
CIWH,Cirsium wheeleri
COAN,Cologania angustifolia
COCA,Conyza canadensis
CRFE,Cryptantha fendleri
ELEL,Elymus elymoides
ERDI,Erigeron divergens
ERNA,Ericameria nauseosa
ERNE,Erigeron neomexicanus
ERSP,Erigeron speciosa
FEAR,Festuca arizonica
GECA,Geranium caespitosum
HEMU,Heliomeris multiflora
HEOB,Hedeoma oblongifolia
HOWR,Houstonia wrightii
HYDI,Hymenothrix dissecta
LIDA,Linaria dalmatica
LIMA,Lithospermum macromeria
LIMU,Lithospermum multiflorum
LOWR,Lotus wrightii
LUAR,Lupinus argenteus
MUMO,Muhlenbergia montana
MUVI,Muhlenbergia virescens
MUWR,Muhlenbergia wrightii
PAMU,Packera multilobata
PIPR,Piptochaetium pringlei
PSMA,Pseudognaphalium macounii
QUGA,Quercus gambelii
SATR,Salsola tragus
SCSC,Schizachyrium scoparium
SOTR,Solanum triflorum
SOVE,Solidago velutina
STTE,Stephanomeria tenuiflora
TRRA,Tragia ramosa
VETH,Verbascum thapsus
