"spp","sla","height","seedmass","resprouting"
"ARLU",17.67771008,0.291821875,0.14,1
"BADI",12.28888998,0.582380952,0.383,0
"CARO",14.91982256,0.222866667,0.98,1
"CEFE",11.55950763,0.405172414,3.016,1
"CHAL",24.23719088,0.904364865,0.63,0
"CIWH",9,0.54,12.802,0
"COAN",17.32139205,0.136,6.856,0
"COCA",21.24782664,0.647842105,0.06,0
"CRGR",7.394767273,0.365,0.3700001,0
"ELEL",17.08838938,0.236241071,5.203,1
"ERDI",18,0.14,0.046,0
"ERNE",16.25,0.155,0.111,0
"FEAR",13.5746778,0.264507246,0.961,1
"HEMU",15.08110011,0.54805,0.436,0
"HOWR",12.72250661,0.03065,0.439,0
"LASE",19.77614189,1.118166667,0.58,0
"LIDA",14.5728792,0.607,0.14,1
"LOWR",11.1333062,0.265482759,3.091,0
"MACA",11.05776417,0.3745,0.631,0
"MUMO",15.54888494,0.28715,0.171,1
"MUST",13.61907412,0.431266667,0.6068,1
"MUWR",15,0.35,0.2,1
"PIPR",13.22886815,0.3470125,4.34,1
"PSMA",22.67433424,0.59435,0.044,0
"QUGA",10.46143089,0.498,1086.697,1
"SATR",9.324877633,0.436775,0.781,0
"SCSC",17,0.52,1.438,1
"VETH",27.81503738,0.1723,0.082,0
